planet_name,star_name,planets_in_system,orbital_period,semi_major_axis,radius_earths,mass_earths,radius_jupiters,mass_jupiters,density,equilibrium_temperature,ra,dec_
Kepler-583 b,Kepler-583,1,6.5100253,0.0689,2.28,5.82,0.20340798,0.0183,2.7,1017.0,282.1113206,42.3545514
HD 62364 c,HD 62364,2,74839.94555,36.984,12.0,7923.46218651,1.07,24.93,25.2,58.7,113.9052658,-75.5442707
Kepler-1649 c,Kepler-1649,2,19.53527,0.0649,1.06,1.2,0.09456687,0.00377,5.54,234.0,292.5029676,41.8299933
Kepler-1167 b,Kepler-1167,1,1.003933739,0.0175,1.71,3.57,0.15255598,0.0112,3.92,1419.0,298.3026595,47.6939654
HD 100508 b,HD 100508,1,5681.0,6.11,13.7,381.3940884,1.22,1.2,0.815,106.66,173.3014057,-67.0546386
WASP-57 b,WASP-57,1,2.83891856,0.03769,11.76945,204.68252,1.05,0.644,0.693,1338.0,223.8199788,-2.0576866
Kepler-1779 b,Kepler-1779,1,16.34359932,0.1264,3.03295685,9.44,0.27058275,0.0297,1.86,730.0,300.4174607,45.6054854
Kepler-1770 b,Kepler-1770,1,16.84189987,0.1261,2.84141754,8.45,0.25349473,0.0266,2.02,699.0,299.2502851,43.4103663
Kepler-216 b,Kepler-216,2,7.693641,0.079,2.35,6.12,0.21,0.0193,2.59,1069.0,293.7280695,46.1291139
TOI-2768 b,TOI-2768,1,1.50801,0.027,2.63,7.41,0.23463329,0.0233,2.24,855.0,99.3641336,-15.4812031
Kepler-529 d,Kepler-529,3,35.86619949,0.2134,2.79502603,8.22,0.24935595,0.0259,2.07,633.0,285.8884067,47.880364
Kepler-381 d,Kepler-381,3,8.256299973,0.08364,1.0667865,1.23,0.09517248,0.00386,5.57,1387.0,285.1828685,43.8310283
Kepler-296 d,Kepler-296,5,19.850291,0.118,2.09,5.02,0.18645731,0.0158,1.9,403.0,286.5400278,49.4372614
Kepler-1739 b,Kepler-1739,1,7.343709946,0.0697,2.43056832,6.48,0.21684115,0.0204,2.48,839.0,296.2320536,47.6788626
Kepler-278 b,Kepler-278,2,30.1556,0.202,3.955,56.0,0.35284207,0.1761957,5.0,586.0,290.1072124,38.7022694
Kepler-615 b,Kepler-615,1,10.35584657,0.085,1.74,3.68,0.1552324,0.0116,3.84,620.0,282.4506927,46.3213671
TOI-6383 A b,TOI-6383 A,1,1.79058695,0.02292,11.29,331.0,1.008,1.04,1.26,745.0,60.4246951,60.8913677
Kepler-1638 b,Kepler-1638,1,259.33683,0.745,1.87,4.16,0.16683023,0.0131,3.5,304.0,295.4823299,48.5244695
Kepler-1254 d,Kepler-1254,3,5.72717226,0.0575,1.31,2.27,0.11687037,0.00714,5.55,794.0,285.1733174,48.7700099
Kepler-752 b,Kepler-752,1,18.82747265,0.1353,2.81,8.3,0.25069141,0.0261,2.06,632.0,292.2681469,37.955672
Kepler-1692 b,Kepler-1692,1,5.95966,0.0646,1.11177184,1.42,0.09918564,0.00447,5.68,897.0,286.9241804,47.0537092
K2-45 b,K2-45,1,1.7292684,0.0224,6.71,36.4,0.5986261,0.114,0.662,1073.56,169.6327547,-1.7740582
Kepler-148 b,Kepler-148,3,1.729366,0.028,1.8,3.89,0.161,0.0123,3.67,1284.0,289.7861626,46.8588176
