star_name,star_temperature,star_radius,star_mass,star_surface_gravity
HD 39091,5998.0,1.17,1.07,4.43
Kepler-150,5560.0,0.939,0.956,4.466
HATS-43,5099.0,0.812,0.837,4.539
TOI-1437,6008.0,1.17,1.1,4.26
Kepler-685,5963.0,1.16,1.11,4.36
K2-89,3691.0,0.318,0.347,4.965
WASP-49,5600.0,0.97,0.92,4.5
Kepler-1699,5575.53,0.725,0.81,4.618
Kepler-1152,3964.0,0.53,0.55,4.73
HD 30669,5400.0,0.91,0.92,4.37
HD 155918,5771.84,1.01906,1.03,4.43451
Kepler-1391,5840.0,1.1,1.03,4.36
Kepler-25,6354.0,1.316,1.165,4.285
Kepler-1813,5167.0,0.787,0.812,4.555
Kepler-156,5094.0,0.807,0.864,4.552
Kepler-477,5240.0,0.79,0.87,4.58
WASP-66,6600.0,1.76,1.33,4.3
Kepler-275,6165.0,1.383,1.189,4.229
HATS-64,6554.0,2.113,1.564,3.982
TOI-2876,5271.0,0.873,0.939,4.529
Kepler-80,4540.0,0.678,0.73,4.639
Kepler-397,5307.0,0.767,0.844,4.572
Kepler-967,5178.0,0.8,0.84,4.56
GJ 411,3719.0,0.3685,0.3899,4.895
HD 126614,5568.0,1.369794,0.96,4.174243
G 261-6,2907.0,0.153162,0.118,5.16515
KOI-351,6080.0,1.2,1.2,4.4
Kepler-610,5943.0,1.13,1.1,4.37
K2-278,6747.0,1.61,1.4,4.17
HIP 111909,4891.0,4.53,1.28,3.09
Kepler-33,5904.0,1.82,1.291,4.027
Kepler-1932,5278.0,0.815,0.911,4.576
HD 90156,5599.0,0.920286,0.84,4.48
TOI-2068,3710.0,0.535,0.559,4.729
Kepler-1382,6161.0,1.72,1.36,4.1
Kepler-123,6089.0,1.264,1.079,4.277
Kepler-1890,6046.0,1.396,1.024,4.158
Kepler-1030,4983.0,0.76,0.8,4.59
Kepler-112,5544.0,0.841,0.782,4.506
Kepler-1077,5816.0,1.02,1.02,4.43
Kepler-1451,5782.0,0.99,1.0,4.45
Kepler-190,5106.0,0.795,0.834,4.561
HD 153950,6124.0,1.28,1.25,4.32
Kepler-1431,5806.0,1.03,1.03,4.42
Kepler-1132,5298.0,0.83,0.87,4.55
Kepler-216,6091.0,1.26,1.126,4.28
CoRoT-13,5945.0,1.01,1.09,4.46
Kepler-413,4700.0,0.7761,0.82,4.5721
GJ 86,5182.0,0.77,0.93,4.63
GJ 849,3467.0,0.45,0.45,4.8
Kepler-1804,5109.0,1.671,0.929,3.96
Kepler-267,4258.0,0.555,0.541571,4.729
HD 190360,5560.0,1.14,0.996,4.1
Kepler-1704,5746.0,1.697,1.132,4.031
K2-95,3566.0,0.4,0.41,4.85
Kepler-204,5812.0,1.238,1.038,4.269
HD 23127,5843.0,1.49,1.208,4.146
Kepler-1188,5913.0,1.06,1.04,4.4
TOI-4562,6096.0,1.152,1.192,4.39
HD 21411,5605.0,0.825605,0.89,4.51
Kepler-239,4914.0,0.763,0.757,4.583
TOI-201,6423.0,1.31,1.32,4.318
Kepler-821,5191.0,0.8,0.84,4.56
XO-5,5430.0,1.13,1.04,4.35
Kepler-122,6050.0,1.216,0.982,4.299
NGTS-4,5143.0,0.84,0.75,4.5
Kepler-1825,5123.0,0.847,0.828,4.501
Kepler-579,5636.0,0.96,0.99,4.47
Kepler-55,4503.0,0.619,0.631,4.684
Kepler-1717,6200.0,1.64,1.158,4.072
HD 216770,5399.0,0.93,0.74,4.37
Kepler-1074,4002.0,0.57,0.6,4.7
TOI-6016,6110.0,1.51,1.31,4.19
Kepler-1278,6074.0,1.16,1.11,4.35
HD 106270,5509.0,2.66,1.39,3.72
Kepler-1558,5101.0,0.79,0.83,4.57
Kepler-204,5812.0,1.238,1.038,4.269
HAT-P-39,6430.0,1.625,1.404,4.16
Kepler-347,6088.0,1.005,0.922,4.472
Kepler-203,5821.0,1.114,1.06,4.358
Kepler-786,4838.0,0.74,0.81,4.61
Kepler-1905,5788.0,1.015,1.038,4.442
Kepler-1513,5491.0,0.95,0.943,4.46
Kepler-230,5588.0,0.817,0.784,4.551
HATS-16,5738.0,1.238,0.97,4.239
Kepler-1091,5851.0,1.03,1.01,4.42
Kepler-1713,6477.0,1.459,1.3,4.224
K2-3,3844.0,0.546,0.549,4.704
Kepler-295,5603.0,0.898,0.89,4.444
HATS-3,6351.0,1.404,1.209,4.22
Kepler-1121,6231.0,1.59,1.29,4.14
Kepler-466,5927.0,1.05,1.04,4.42
Kepler-197,6004.0,1.12,0.857,4.304
CoRoT-36,6730.0,1.52,1.32,4.16
Kepler-402,6090.0,1.264,1.072,4.278
TOI-1478,5597.0,1.048,0.947,4.374
GJ 832,3472.0,0.441557,0.45,4.78905
Barnard's star,3195.0,0.185,0.162,4.9
TOI-969,4435.0,0.671,0.734,4.55
GJ 3082,3910.0,0.465216,0.47,4.76801
TOI-1294,5718.0,1.5566,1.1578,4.119
HD 222155,5701.0,1.85,1.21,3.99
KOI-351,6080.0,1.2,1.2,4.4
WASP-151,5871.0,1.181,1.081,4.35
HD 117618,5990.0,1.2,1.077,4.41
Kepler-1629,5776.0,1.01,1.01,4.44
Kepler-414,5536.0,0.946,0.89,4.47
HIP 57274,4640.0,0.68,0.73,4.71
K2-289,5529.0,1.025,0.953,4.393
HD 102888,4990.0,8.6,2.42,2.87
K2-38,5731.0,1.06,1.03,4.38
GJ 1002,3024.0,0.137,0.12,5.1
HD 212301,6239.0,1.16,1.55,4.5
Kepler-1680,5021.0,0.723259,0.834,4.64065
HD 43197,5508.0,1.0,0.96,4.31
Kepler-379,6054.0,1.306,1.125,4.273
Kepler-1321,4094.0,0.53,0.54,4.73
Kepler-29,5378.0,0.732,0.761,4.6
Kepler-1486,5965.0,1.12,1.08,4.38
Kepler-1718,5731.0,0.906,0.846,4.451
HD 181433,4918.0,0.79,0.86,4.45
Kepler-1599,5767.0,0.99,0.99,4.45
HD 25912,5920.58,0.995896,1.08,4.47506
TOI-5108,5808.0,1.29,1.1,4.26
BD-08 2823,4816.0,0.71,0.5,4.43
TOI-4914,5805.0,1.0,1.03,4.3
TOI-4495,6210.0,1.309,1.247,4.29
K2-37,5352.0,0.809,0.84,4.53
Kepler-911,6112.0,1.99,1.34,3.97
HD 114783,5135.0,0.840622,0.853,4.525599
Kepler-1679,5501.0,0.873196,0.96,4.53812
Kepler-238,5751.0,1.43,1.229,4.194
Kepler-67,5331.0,0.778,0.865,4.594
Kepler-350,6492.3,1.25,1.0,4.24
Kepler-1327,5885.0,1.03,1.02,4.42
Kepler-677,5723.0,0.99,1.0,4.45
HD 187123,5790.0,1.15043,1.04,4.33338
Kepler-773,5850.0,1.01,1.04,4.45
BD-06 1339,4324.0,0.686355,0.7,4.74
Kepler-816,5286.0,0.85,0.9,4.54
HD 51608,5358.0,0.916136,0.8,4.36
HD 219134,4699.0,0.778,0.81,4.567
K2-239,3420.0,0.36,0.4,4.9
HD 142,6245.0,1.47,1.21,4.62
HD 125390,4882.0,6.47,1.82,3.04
Kepler-182,6250.0,1.146,1.114,4.401
Kepler-880,6900.0,2.599,1.714,3.843
Kepler-1303,5771.0,1.0,1.01,4.44
Kepler-110,5960.0,1.149,0.989,4.327
Kepler-273,5626.0,0.815,0.756,4.514
Kepler-1016,5821.0,1.0,0.99,4.44
GJ 273,3382.0,0.293,0.29,4.90868
HIP 54373,4021.0,0.564998,0.57,4.68103
Kepler-34,5913.0,1.1618,1.0479,4.3284
HD 108236,5660.0,0.877,0.869,4.49
Kepler-1232,5471.0,0.89,0.92,4.51
L 363-38,3129.0,0.274,0.21,4.97
TOI-375,5259.9,2.9,1.441,3.672
WASP-64,5400.0,1.058,1.004,4.392
Kepler-417,5177.0,0.806,0.9,4.57
WASP-190,6400.0,1.6,1.35,4.17
HIP 55507,4171.0,0.723643,0.65,4.53193
Kepler-940,5769.0,0.96,0.97,4.47
Kepler-398,4493.0,0.613,0.649,4.689
WASP-74,5990.0,1.42,0.98,4.39
HD 96063,5020.0,4.75,1.37,3.33
Kepler-524,6014.0,1.1,1.09,4.39
